Product,Season,Location,Price (₹)
Noodles,Winter,Mumbai,35.56
Idli / Dosa batter,Winter,Jaipur,56.88
Tomato ketchup,Winter,Ahmedabad,104.58
Green chutney,Winter,Ahmedabad,98.36
Tamarind chutney,Monsoon,Ahmedabad,72.29
Schezwan sauce,Winter,Pune,103.88
Mayonnaise,Monsoon,Bangalore,86.29
Vinegar,Monsoon,Bangalore,52.33
Soya sauce,Monsoon,Pune,55.89
Tea leaves,Winter,Chennai,258.64
Coffee powder,Summer,Pune,373.66
Sugar syrup,Monsoon,Lucknow,62.58
Ice cubes,Monsoon,Chennai,9.5
Lemon juice,Winter,Ahmedabad,35.0
"Flavoring syrups (rose, khus, etc.)",Summer,Lucknow,106.47
Milk powder,Winter,Delhi,393.91
"Dry fruits (cashew, almond, raisins)",Winter,Delhi,466.58
"Essence (vanilla, rose, etc.)",Winter,Pune,407.27
Corn starch,Winter,Chennai,84.55
Condensed milk,Monsoon,Mumbai,102.41
Salt,Monsoon,Lucknow,14.67
Sugar,Monsoon,Mumbai,32.24
Rice,Winter,Pune,76.52
Wheat flour (Atta),Monsoon,Delhi,45.64
Maida (Refined flour),Summer,Lucknow,32.73
Gram flour (Besan),Summer,Hyderabad,113.36
Corn flour,Winter,Pune,44.99
Potato,Summer,Pune,22.79
Onion,Monsoon,Jaipur,51.23
Tomato,Monsoon,Ahmedabad,44.2
Cabbage,Winter,Jaipur,29.68
Capsicum,Winter,Hyderabad,42.09
Carrot,Summer,Kolkata,38.24
Green chili,Winter,Chennai,46.78
Coriander leaves,Summer,Bangalore,9.76
Garlic,Monsoon,Delhi,83.98
Ginger,Summer,Mumbai,60.18
Lemon,Monsoon,Bangalore,77.58
Milk,Winter,Chennai,65.55
Paneer,Winter,Delhi,252.31
Butter,Monsoon,Jaipur,502.45
Ghee,Winter,Kolkata,657.78
Cheese,Summer,Bangalore,422.19
Curd / Yogurt,Summer,Mumbai,65.76
Eggs,Winter,Ahmedabad,81.89
Chicken,Winter,Hyderabad,207.36
Refined oil,Monsoon,Bangalore,130.16
Mustard oil,Monsoon,Bangalore,140.12
Vanaspati / Dalda,Summer,Bangalore,132.53
Coconut oil,Winter,Mumbai,242.24
Turmeric powder,Summer,Hyderabad,164.71
Red chili powder,Summer,Jaipur,230.32
Cumin seeds,Winter,Jaipur,259.72
Coriander powder,Winter,Bangalore,162.44
Garam masala,Monsoon,Jaipur,278.36
Black salt,Winter,Mumbai,76.7
Chaat masala,Winter,Delhi,136.55
Pepper powder,Monsoon,Kolkata,384.19
Mustard seeds,Winter,Ahmedabad,78.56
Bread,Winter,Mumbai,33.44
Pav / Buns,Monsoon,Jaipur,33.26
Burger buns,Winter,Hyderabad,35.49
Noodles,Winter,Pune,51.25
Idli / Dosa batter,Summer,Mumbai,69.7
Tomato ketchup,Monsoon,Pune,103.87
Green chutney,Winter,Pune,79.64
Tamarind chutney,Monsoon,Jaipur,64.72
Schezwan sauce,Winter,Bangalore,71.09
Mayonnaise,Monsoon,Lucknow,98.18
Vinegar,Summer,Delhi,44.47
Soya sauce,Winter,Bangalore,78.91
Tea leaves,Winter,Kolkata,244.74
Coffee powder,Summer,Lucknow,336.99
Sugar syrup,Summer,Bangalore,46.7
Ice cubes,Monsoon,Kolkata,9.0
Lemon juice,Summer,Jaipur,29.33
"Flavoring syrups (rose, khus, etc.)",Monsoon,Pune,150.28
Milk powder,Summer,Lucknow,295.26
"Dry fruits (cashew, almond, raisins)",Winter,Bangalore,483.67
"Essence (vanilla, rose, etc.)",Monsoon,Pune,292.97
Corn starch,Winter,Mumbai,73.03
Condensed milk,Winter,Mumbai,95.35
Salt,Summer,Jaipur,10.46
Sugar,Winter,Lucknow,37.32
Rice,Winter,Jaipur,46.03
Wheat flour (Atta),Summer,Delhi,31.31
Maida (Refined flour),Winter,Chennai,32.73
Gram flour (Besan),Winter,Jaipur,64.81
Corn flour,Monsoon,Jaipur,40.69
Potato,Winter,Chennai,33.72
Onion,Monsoon,Jaipur,69.97
Tomato,Monsoon,Kolkata,71.01
Cabbage,Monsoon,Hyderabad,26.67
Capsicum,Monsoon,Lucknow,54.34
Carrot,Monsoon,Mumbai,35.41
Green chili,Winter,Delhi,42.46
Coriander leaves,Monsoon,Hyderabad,19.35
Garlic,Summer,Ahmedabad,112.67
Ginger,Monsoon,Pune,64.37
Lemon,Winter,Lucknow,35.44
Milk,Monsoon,Kolkata,60.08
Paneer,Summer,Chennai,222.63
Butter,Monsoon,Mumbai,634.01
Ghee,Monsoon,Delhi,655.6
Cheese,Monsoon,Lucknow,536.19
Curd / Yogurt,Summer,Ahmedabad,54.35
Eggs,Summer,Mumbai,103.05
Chicken,Winter,Ahmedabad,248.33
Refined oil,Winter,Hyderabad,139.78
Mustard oil,Summer,Jaipur,151.65
Vanaspati / Dalda,Monsoon,Bangalore,119.77
Coconut oil,Winter,Hyderabad,227.65
Turmeric powder,Summer,Hyderabad,158.85
Red chili powder,Winter,Mumbai,201.36
Cumin seeds,Monsoon,Mumbai,171.73
Coriander powder,Winter,Jaipur,177.66
Garam masala,Winter,Delhi,248.8
Black salt,Winter,Lucknow,89.53
Chaat masala,Monsoon,Chennai,141.46
Pepper powder,Summer,Delhi,286.89
Mustard seeds,Winter,Kolkata,117.31
Bread,Summer,Delhi,45.91
Pav / Buns,Summer,Mumbai,26.78
Burger buns,Summer,Jaipur,36.2
Noodles,Monsoon,Lucknow,30.32
Idli / Dosa batter,Winter,Kolkata,64.38
Tomato ketchup,Monsoon,Hyderabad,112.62
Green chutney,Summer,Mumbai,57.25
Tamarind chutney,Winter,Ahmedabad,79.26
Schezwan sauce,Summer,Hyderabad,106.54
Mayonnaise,Summer,Delhi,89.68
Vinegar,Winter,Lucknow,36.28
Soya sauce,Monsoon,Mumbai,59.88
Tea leaves,Monsoon,Hyderabad,368.43
Coffee powder,Monsoon,Jaipur,457.2
Sugar syrup,Monsoon,Hyderabad,52.33
Ice cubes,Monsoon,Kolkata,9.22
Lemon juice,Monsoon,Chennai,41.78
"Flavoring syrups (rose, khus, etc.)",Summer,Jaipur,122.94
Milk powder,Monsoon,Hyderabad,366.36
"Dry fruits (cashew, almond, raisins)",Winter,Mumbai,486.78
"Essence (vanilla, rose, etc.)",Monsoon,Delhi,310.69
Corn starch,Winter,Kolkata,68.79
Condensed milk,Monsoon,Mumbai,121.37
Salt,Monsoon,Bangalore,11.9
Sugar,Winter,Jaipur,45.72
Rice,Summer,Jaipur,58.49
Wheat flour (Atta),Winter,Lucknow,41.59
Maida (Refined flour),Winter,Ahmedabad,34.19
Gram flour (Besan),Summer,Kolkata,76.41
Corn flour,Summer,Chennai,53.8
Potato,Winter,Mumbai,26.08
Onion,Winter,Delhi,27.9
Tomato,Monsoon,Jaipur,59.62
Cabbage,Winter,Bangalore,18.06
Capsicum,Winter,Hyderabad,35.43
Carrot,Winter,Bangalore,33.82
Green chili,Monsoon,Jaipur,55.53
Coriander leaves,Winter,Hyderabad,15.86
Garlic,Summer,Pune,94.0
Ginger,Monsoon,Mumbai,105.06
Lemon,Summer,Ahmedabad,41.22
Milk,Summer,Bangalore,55.08
Paneer,Summer,Hyderabad,292.23
Butter,Monsoon,Pune,454.12
Ghee,Summer,Hyderabad,594.05
Cheese,Summer,Lucknow,336.4
Curd / Yogurt,Winter,Lucknow,53.81
Eggs,Summer,Ahmedabad,103.33
Chicken,Winter,Ahmedabad,257.03
Refined oil,Summer,Chennai,136.84
Mustard oil,Summer,Kolkata,158.01
Vanaspati / Dalda,Monsoon,Bangalore,111.56
Coconut oil,Summer,Kolkata,194.26
Turmeric powder,Winter,Pune,181.63
Red chili powder,Monsoon,Mumbai,228.8
Cumin seeds,Monsoon,Mumbai,173.71
Coriander powder,Monsoon,Jaipur,186.44
Garam masala,Winter,Bangalore,284.37
Black salt,Winter,Hyderabad,59.34
Chaat masala,Summer,Delhi,148.16
Pepper powder,Winter,Delhi,313.69
Mustard seeds,Winter,Chennai,111.76
Bread,Summer,Hyderabad,41.04
Pav / Buns,Monsoon,Chennai,30.8
Burger buns,Summer,Kolkata,43.37
Noodles,Summer,Jaipur,33.19
Idli / Dosa batter,Monsoon,Lucknow,64.15
Tomato ketchup,Winter,Ahmedabad,131.44
Green chutney,Winter,Mumbai,71.73
Tamarind chutney,Summer,Kolkata,87.94
Schezwan sauce,Summer,Lucknow,109.56
Mayonnaise,Winter,Delhi,125.19
Vinegar,Winter,Lucknow,43.92
Soya sauce,Monsoon,Delhi,76.71
Tea leaves,Winter,Bangalore,355.73
Coffee powder,Winter,Delhi,373.73
Sugar syrup,Summer,Mumbai,51.46
Ice cubes,Winter,Mumbai,8.14
Lemon juice,Winter,Delhi,30.13
"Flavoring syrups (rose, khus, etc.)",Winter,Kolkata,207.4
Milk powder,Monsoon,Mumbai,379.73
"Dry fruits (cashew, almond, raisins)",Summer,Kolkata,720.27
"Essence (vanilla, rose, etc.)",Monsoon,Jaipur,338.19
Corn starch,Monsoon,Bangalore,76.69
Condensed milk,Summer,Ahmedabad,118.12
Salt,Winter,Hyderabad,10.85
Sugar,Summer,Delhi,50.42
Rice,Summer,Jaipur,46.25
Wheat flour (Atta),Winter,Ahmedabad,38.12
Maida (Refined flour),Summer,Ahmedabad,43.17
Gram flour (Besan),Monsoon,Jaipur,90.88
Corn flour,Monsoon,Ahmedabad,55.76
Potato,Monsoon,Kolkata,37.16
Onion,Monsoon,Lucknow,54.28
Tomato,Monsoon,Lucknow,57.47
Cabbage,Monsoon,Mumbai,22.44
Capsicum,Winter,Jaipur,41.01
Carrot,Winter,Mumbai,35.01
Green chili,Winter,Jaipur,66.58
Coriander leaves,Monsoon,Lucknow,19.28
Garlic,Summer,Hyderabad,88.19
Ginger,Winter,Kolkata,90.59
Lemon,Summer,Hyderabad,33.66
Milk,Winter,Jaipur,61.15
Paneer,Summer,Bangalore,231.71
Butter,Monsoon,Lucknow,492.18
Ghee,Summer,Kolkata,618.84
Cheese,Winter,Kolkata,332.39
Curd / Yogurt,Winter,Mumbai,45.02
Eggs,Monsoon,Hyderabad,97.35
Chicken,Monsoon,Chennai,272.04
Refined oil,Summer,Delhi,121.66
Mustard oil,Winter,Kolkata,134.26
Vanaspati / Dalda,Monsoon,Mumbai,121.78
Coconut oil,Monsoon,Ahmedabad,190.93
Turmeric powder,Monsoon,Ahmedabad,109.12
Red chili powder,Summer,Bangalore,200.32
Cumin seeds,Monsoon,Hyderabad,210.94
Coriander powder,Winter,Jaipur,137.22
Garam masala,Winter,Mumbai,213.0
Black salt,Monsoon,Lucknow,72.38
Chaat masala,Summer,Jaipur,138.78
Pepper powder,Winter,Chennai,347.16
Mustard seeds,Summer,Chennai,111.72
Bread,Winter,Jaipur,46.76
Pav / Buns,Summer,Lucknow,21.1
Burger buns,Winter,Hyderabad,28.36
Noodles,Monsoon,Hyderabad,40.63
Idli / Dosa batter,Monsoon,Ahmedabad,46.43
Tomato ketchup,Monsoon,Pune,124.57
Green chutney,Monsoon,Mumbai,71.85
Tamarind chutney,Summer,Bangalore,66.83
Schezwan sauce,Summer,Kolkata,97.89
Mayonnaise,Summer,Hyderabad,107.04
Vinegar,Monsoon,Kolkata,47.05
Soya sauce,Winter,Jaipur,72.0
Tea leaves,Monsoon,Lucknow,421.25
Coffee powder,Winter,Jaipur,324.33
Sugar syrup,Winter,Mumbai,39.82
Ice cubes,Summer,Chennai,6.13
Lemon juice,Winter,Kolkata,20.22
"Flavoring syrups (rose, khus, etc.)",Winter,Jaipur,143.21
Milk powder,Winter,Jaipur,356.79
"Dry fruits (cashew, almond, raisins)",Winter,Jaipur,696.34
"Essence (vanilla, rose, etc.)",Summer,Chennai,365.59
Corn starch,Summer,Kolkata,80.39
Condensed milk,Summer,Ahmedabad,90.11
Salt,Monsoon,Pune,11.32
Sugar,Monsoon,Delhi,39.99
Rice,Winter,Mumbai,45.34
Wheat flour (Atta),Monsoon,Pune,39.54
Maida (Refined flour),Summer,Pune,30.18
Gram flour (Besan),Monsoon,Ahmedabad,92.54
Corn flour,Summer,Kolkata,54.01
Potato,Monsoon,Chennai,32.57
Onion,Summer,Jaipur,60.78
Tomato,Monsoon,Pune,63.02
Cabbage,Winter,Jaipur,17.1
Capsicum,Monsoon,Mumbai,48.79
Carrot,Monsoon,Mumbai,42.1
Green chili,Winter,Chennai,80.69
Coriander leaves,Summer,Jaipur,12.35
Garlic,Monsoon,Jaipur,69.06
Ginger,Winter,Kolkata,84.24
Lemon,Winter,Kolkata,58.13
Milk,Monsoon,Pune,56.2
Paneer,Summer,Pune,185.57
Butter,Summer,Kolkata,488.34
Ghee,Monsoon,Hyderabad,719.99
Cheese,Winter,Delhi,425.5
Curd / Yogurt,Summer,Jaipur,52.67
Eggs,Monsoon,Lucknow,82.1
Chicken,Monsoon,Chennai,275.41
Refined oil,Winter,Kolkata,123.41
Mustard oil,Monsoon,Hyderabad,129.17
Vanaspati / Dalda,Monsoon,Kolkata,114.72
Coconut oil,Winter,Ahmedabad,204.18
Turmeric powder,Monsoon,Lucknow,178.59
Red chili powder,Monsoon,Pune,234.84
Cumin seeds,Monsoon,Kolkata,237.21
Coriander powder,Summer,Jaipur,130.46
Garam masala,Winter,Pune,232.15
Black salt,Summer,Hyderabad,95.95
Chaat masala,Monsoon,Pune,125.57
Pepper powder,Winter,Lucknow,371.67
Mustard seeds,Summer,Pune,117.5
Bread,Winter,Lucknow,43.38
Pav / Buns,Summer,Delhi,40.63
Burger buns,Winter,Hyderabad,33.99
Noodles,Winter,Chennai,53.06
Idli / Dosa batter,Winter,Jaipur,78.06
Tomato ketchup,Monsoon,Mumbai,128.09
Green chutney,Summer,Ahmedabad,93.77
Tamarind chutney,Monsoon,Ahmedabad,77.7
Schezwan sauce,Monsoon,Hyderabad,99.23
Mayonnaise,Monsoon,Lucknow,85.76
Vinegar,Summer,Pune,32.5
Soya sauce,Monsoon,Ahmedabad,69.99
Tea leaves,Winter,Ahmedabad,271.81
Coffee powder,Summer,Ahmedabad,372.16
Sugar syrup,Winter,Jaipur,37.25
Ice cubes,Winter,Lucknow,9.06
Lemon juice,Summer,Ahmedabad,22.35
"Flavoring syrups (rose, khus, etc.)",Winter,Delhi,202.77
Milk powder,Monsoon,Bangalore,399.95
"Dry fruits (cashew, almond, raisins)",Monsoon,Delhi,876.6
"Essence (vanilla, rose, etc.)",Winter,Mumbai,294.55
Corn starch,Winter,Lucknow,94.24
Condensed milk,Monsoon,Kolkata,105.9
Salt,Winter,Chennai,15.43
Sugar,Monsoon,Mumbai,35.9
Rice,Winter,Pune,40.66
Wheat flour (Atta),Summer,Lucknow,33.13
Maida (Refined flour),Summer,Bangalore,37.35
Gram flour (Besan),Winter,Bangalore,107.05
Corn flour,Summer,Jaipur,59.18
Potato,Monsoon,Bangalore,27.63
Onion,Summer,Pune,42.43
Tomato,Summer,Pune,24.24
Cabbage,Winter,Ahmedabad,21.63
Capsicum,Monsoon,Jaipur,40.06
Carrot,Summer,Delhi,36.31
Green chili,Summer,Chennai,56.98
Coriander leaves,Summer,Kolkata,17.92
Garlic,Summer,Delhi,93.46
Ginger,Summer,Lucknow,84.88
Lemon,Summer,Pune,61.76
Milk,Summer,Ahmedabad,65.35
Paneer,Monsoon,Mumbai,299.24
Butter,Winter,Mumbai,605.62
Ghee,Winter,Lucknow,587.92
Cheese,Monsoon,Hyderabad,296.27
Curd / Yogurt,Winter,Bangalore,57.21
Eggs,Summer,Jaipur,70.75
Chicken,Monsoon,Mumbai,249.84
Refined oil,Summer,Jaipur,133.28
Mustard oil,Summer,Chennai,143.03
Vanaspati / Dalda,Summer,Lucknow,126.58
Coconut oil,Winter,Ahmedabad,191.39
Turmeric powder,Summer,Chennai,167.04
Red chili powder,Monsoon,Pune,199.38
Cumin seeds,Winter,Lucknow,208.97
Coriander powder,Winter,Chennai,184.14
Garam masala,Summer,Jaipur,322.44
Black salt,Summer,Jaipur,68.9
Chaat masala,Monsoon,Hyderabad,149.1
Pepper powder,Summer,Hyderabad,395.63
Mustard seeds,Monsoon,Delhi,107.92
Bread,Winter,Delhi,28.98
Pav / Buns,Summer,Jaipur,19.99
Burger buns,Summer,Kolkata,27.88
Noodles,Summer,Pune,40.71
Idli / Dosa batter,Summer,Hyderabad,86.71
Tomato ketchup,Winter,Ahmedabad,118.5
Green chutney,Summer,Ahmedabad,76.19
Tamarind chutney,Summer,Mumbai,83.78
Schezwan sauce,Monsoon,Ahmedabad,100.81
Mayonnaise,Monsoon,Chennai,109.98
Vinegar,Winter,Bangalore,54.79
Soya sauce,Summer,Kolkata,52.2
Tea leaves,Winter,Hyderabad,357.44
Coffee powder,Monsoon,Lucknow,390.48
Sugar syrup,Winter,Jaipur,31.41
Ice cubes,Winter,Mumbai,8.77
Lemon juice,Monsoon,Jaipur,38.9
"Flavoring syrups (rose, khus, etc.)",Monsoon,Kolkata,177.77
Milk powder,Summer,Ahmedabad,361.1
"Dry fruits (cashew, almond, raisins)",Monsoon,Hyderabad,481.46
"Essence (vanilla, rose, etc.)",Summer,Hyderabad,221.54
Corn starch,Monsoon,Mumbai,64.99
Condensed milk,Monsoon,Bangalore,102.48
Salt,Summer,Lucknow,10.57
Sugar,Winter,Chennai,41.32
Rice,Winter,Jaipur,72.39
Wheat flour (Atta),Summer,Delhi,32.32
Maida (Refined flour),Summer,Hyderabad,39.89
Gram flour (Besan),Monsoon,Pune,97.47
Corn flour,Summer,Mumbai,57.19
Potato,Winter,Ahmedabad,19.66
Onion,Summer,Ahmedabad,35.02
Tomato,Summer,Ahmedabad,22.28
Cabbage,Winter,Bangalore,27.34
Capsicum,Monsoon,Kolkata,28.93
Carrot,Monsoon,Delhi,34.1
Green chili,Monsoon,Hyderabad,53.54
Coriander leaves,Summer,Bangalore,18.33
Garlic,Monsoon,Pune,63.89
Ginger,Monsoon,Bangalore,71.9
Lemon,Summer,Delhi,60.84
Milk,Monsoon,Mumbai,65.51
Paneer,Winter,Delhi,235.22
Butter,Winter,Ahmedabad,479.17
Ghee,Winter,Hyderabad,499.48
Cheese,Winter,Delhi,512.14
Curd / Yogurt,Winter,Delhi,53.75
Eggs,Winter,Jaipur,76.91
Chicken,Monsoon,Jaipur,270.4
Refined oil,Monsoon,Jaipur,121.89
Mustard oil,Winter,Hyderabad,144.14
Vanaspati / Dalda,Winter,Hyderabad,98.79
Coconut oil,Monsoon,Lucknow,215.65
Turmeric powder,Monsoon,Kolkata,156.44
Red chili powder,Summer,Bangalore,156.73
Cumin seeds,Monsoon,Bangalore,193.78
Coriander powder,Winter,Chennai,154.85
Garam masala,Monsoon,Chennai,205.7
Black salt,Summer,Chennai,81.39
Chaat masala,Summer,Hyderabad,143.27
Pepper powder,Winter,Delhi,403.68
Mustard seeds,Winter,Delhi,81.14
Bread,Summer,Bangalore,49.6
Pav / Buns,Winter,Lucknow,26.08
Burger buns,Winter,Hyderabad,42.87
Noodles,Summer,Ahmedabad,39.52
Idli / Dosa batter,Monsoon,Jaipur,55.41
Tomato ketchup,Monsoon,Mumbai,90.28
Green chutney,Summer,Pune,83.45
Tamarind chutney,Summer,Bangalore,90.47
Schezwan sauce,Winter,Chennai,91.94
Mayonnaise,Winter,Jaipur,111.92
Vinegar,Monsoon,Jaipur,50.09
Soya sauce,Summer,Lucknow,71.25
Tea leaves,Monsoon,Kolkata,309.74
Coffee powder,Winter,Delhi,380.44
Sugar syrup,Monsoon,Pune,44.89
Ice cubes,Monsoon,Mumbai,5.7
Lemon juice,Winter,Kolkata,35.34
"Flavoring syrups (rose, khus, etc.)",Summer,Chennai,106.52
Milk powder,Winter,Hyderabad,314.06
"Dry fruits (cashew, almond, raisins)",Summer,Jaipur,638.36
"Essence (vanilla, rose, etc.)",Winter,Jaipur,306.54
Corn starch,Monsoon,Kolkata,85.71
Condensed milk,Summer,Mumbai,108.6
Salt,Winter,Hyderabad,11.7
Sugar,Monsoon,Mumbai,44.21
Rice,Monsoon,Bangalore,59.5
Wheat flour (Atta),Winter,Chennai,29.17
Maida (Refined flour),Winter,Lucknow,33.14
Gram flour (Besan),Monsoon,Bangalore,81.4
Corn flour,Summer,Kolkata,48.29
Potato,Monsoon,Hyderabad,34.67
Onion,Summer,Pune,53.57
Tomato,Summer,Hyderabad,24.34
Cabbage,Winter,Delhi,28.13
Capsicum,Winter,Chennai,50.56
Carrot,Summer,Jaipur,46.23
Green chili,Monsoon,Bangalore,43.6
Coriander leaves,Monsoon,Pune,15.34
Garlic,Summer,Delhi,74.37
Ginger,Monsoon,Jaipur,54.17
Lemon,Summer,Mumbai,50.32
Milk,Winter,Chennai,65.27
Paneer,Monsoon,Jaipur,314.69
Butter,Winter,Chennai,437.17
Ghee,Monsoon,Bangalore,600.15
Cheese,Monsoon,Ahmedabad,440.5
Curd / Yogurt,Monsoon,Kolkata,46.64
Eggs,Winter,Jaipur,82.2
Chicken,Winter,Lucknow,222.53
Refined oil,Monsoon,Pune,120.37
Mustard oil,Monsoon,Ahmedabad,171.96
Vanaspati / Dalda,Winter,Delhi,128.8
Coconut oil,Summer,Lucknow,225.16
Turmeric powder,Summer,Hyderabad,179.14
Red chili powder,Summer,Bangalore,138.55
Cumin seeds,Monsoon,Bangalore,239.54
Coriander powder,Summer,Kolkata,148.52
Garam masala,Summer,Ahmedabad,283.75
Black salt,Monsoon,Chennai,79.11
Chaat masala,Winter,Ahmedabad,127.37
Pepper powder,Summer,Chennai,315.43
Mustard seeds,Summer,Lucknow,114.64
Bread,Summer,Kolkata,36.87
Pav / Buns,Summer,Mumbai,30.36
Burger buns,Winter,Jaipur,31.07
Noodles,Monsoon,Jaipur,54.9
Idli / Dosa batter,Summer,Pune,74.85
Tomato ketchup,Winter,Ahmedabad,108.98
Green chutney,Winter,Hyderabad,62.47
Tamarind chutney,Winter,Pune,81.42
Schezwan sauce,Winter,Mumbai,87.77
Mayonnaise,Winter,Hyderabad,95.0
Vinegar,Winter,Hyderabad,63.84
Soya sauce,Monsoon,Bangalore,72.44
Tea leaves,Winter,Mumbai,365.37
Coffee powder,Summer,Kolkata,442.28
Sugar syrup,Winter,Kolkata,48.77
Ice cubes,Winter,Delhi,6.49
Lemon juice,Summer,Mumbai,30.64
"Flavoring syrups (rose, khus, etc.)",Monsoon,Mumbai,200.96
Milk powder,Monsoon,Mumbai,428.93
"Dry fruits (cashew, almond, raisins)",Winter,Bangalore,624.44
"Essence (vanilla, rose, etc.)",Winter,Pune,396.11
Corn starch,Monsoon,Jaipur,56.4
Condensed milk,Monsoon,Bangalore,112.44
Salt,Monsoon,Kolkata,17.19
Sugar,Winter,Mumbai,42.43
Rice,Winter,Delhi,69.11
Wheat flour (Atta),Monsoon,Delhi,39.81
Maida (Refined flour),Monsoon,Hyderabad,37.8
Gram flour (Besan),Monsoon,Mumbai,108.24
Corn flour,Winter,Chennai,59.16
Potato,Winter,Pune,39.97
Onion,Summer,Kolkata,51.59
Tomato,Winter,Ahmedabad,59.51
Cabbage,Winter,Mumbai,19.46
Capsicum,Winter,Jaipur,46.9
Carrot,Monsoon,Chennai,42.22
Green chili,Summer,Lucknow,47.7
Coriander leaves,Summer,Pune,18.94
Garlic,Monsoon,Hyderabad,128.6
Ginger,Summer,Lucknow,50.02
Lemon,Winter,Chennai,64.19
Milk,Summer,Mumbai,55.41
Paneer,Monsoon,Mumbai,235.81
Butter,Winter,Bangalore,463.22
Ghee,Monsoon,Chennai,577.56
Cheese,Winter,Delhi,380.29
Curd / Yogurt,Monsoon,Chennai,62.85
Eggs,Summer,Kolkata,73.59
Chicken,Monsoon,Hyderabad,244.88
Refined oil,Winter,Jaipur,153.9
Mustard oil,Winter,Mumbai,195.48
Vanaspati / Dalda,Winter,Chennai,115.04
Coconut oil,Winter,Mumbai,252.87
Turmeric powder,Summer,Bangalore,140.63
Red chili powder,Summer,Hyderabad,155.4
Cumin seeds,Monsoon,Pune,195.31
Coriander powder,Winter,Ahmedabad,110.47
Garam masala,Summer,Mumbai,222.88
Black salt,Summer,Lucknow,84.86
Chaat masala,Winter,Lucknow,144.47
Pepper powder,Winter,Ahmedabad,500.53
Mustard seeds,Summer,Chennai,99.64
Bread,Winter,Pune,33.13
Pav / Buns,Monsoon,Ahmedabad,28.76
Burger buns,Monsoon,Mumbai,32.14
Noodles,Monsoon,Lucknow,44.13
Idli / Dosa batter,Summer,Kolkata,68.21
Tomato ketchup,Monsoon,Delhi,122.96
Green chutney,Summer,Pune,71.35
Tamarind chutney,Monsoon,Mumbai,83.16
Schezwan sauce,Summer,Chennai,84.26
Mayonnaise,Summer,Mumbai,121.41
Vinegar,Winter,Jaipur,58.33
Soya sauce,Monsoon,Pune,79.49
Tea leaves,Monsoon,Pune,265.84
Coffee powder,Monsoon,Lucknow,388.32
Sugar syrup,Summer,Bangalore,47.8
Ice cubes,Summer,Kolkata,5.74
Lemon juice,Monsoon,Bangalore,32.16
"Flavoring syrups (rose, khus, etc.)",Summer,Ahmedabad,181.82
Milk powder,Winter,Mumbai,441.88
"Dry fruits (cashew, almond, raisins)",Monsoon,Pune,487.98
"Essence (vanilla, rose, etc.)",Summer,Bangalore,346.73
Corn starch,Winter,Lucknow,97.41
Condensed milk,Monsoon,Delhi,114.77
Salt,Monsoon,Chennai,13.86
Sugar,Summer,Kolkata,38.6
Rice,Summer,Bangalore,65.47
Wheat flour (Atta),Monsoon,Mumbai,40.25
Maida (Refined flour),Summer,Hyderabad,31.93
Gram flour (Besan),Monsoon,Jaipur,75.85
Corn flour,Summer,Kolkata,46.94
Potato,Summer,Lucknow,26.51
Onion,Summer,Kolkata,47.26
Tomato,Winter,Kolkata,40.9
Cabbage,Winter,Bangalore,28.05
Capsicum,Winter,Lucknow,44.36
Carrot,Winter,Pune,49.61
Green chili,Summer,Delhi,46.02
Coriander leaves,Winter,Bangalore,13.21
Garlic,Winter,Pune,111.41
Ginger,Monsoon,Pune,81.87
Lemon,Monsoon,Delhi,59.09
Milk,Monsoon,Bangalore,50.88
Paneer,Winter,Hyderabad,199.17
Butter,Winter,Jaipur,451.3
Ghee,Summer,Ahmedabad,580.66
Cheese,Summer,Mumbai,410.71
Curd / Yogurt,Monsoon,Delhi,52.16
Eggs,Summer,Pune,69.96
Chicken,Summer,Kolkata,210.79
Refined oil,Summer,Mumbai,151.13
Mustard oil,Winter,Lucknow,176.75
Vanaspati / Dalda,Summer,Ahmedabad,152.51
Coconut oil,Monsoon,Jaipur,240.84
Turmeric powder,Winter,Bangalore,121.68
Red chili powder,Monsoon,Kolkata,211.3
Cumin seeds,Summer,Jaipur,139.71
Coriander powder,Monsoon,Bangalore,98.21
Garam masala,Winter,Ahmedabad,304.27
Black salt,Summer,Pune,75.71
Chaat masala,Summer,Jaipur,136.46
Pepper powder,Monsoon,Jaipur,421.08
Mustard seeds,Summer,Kolkata,119.42
Bread,Winter,Mumbai,47.83
Pav / Buns,Summer,Jaipur,31.48
Burger buns,Winter,Ahmedabad,33.75
Noodles,Summer,Delhi,43.15
Idli / Dosa batter,Summer,Hyderabad,52.9
Tomato ketchup,Summer,Lucknow,102.54
Green chutney,Summer,Pune,92.57
Tamarind chutney,Summer,Kolkata,86.53
Schezwan sauce,Summer,Hyderabad,82.28
Mayonnaise,Summer,Hyderabad,105.28
Vinegar,Monsoon,Chennai,41.69
Soya sauce,Winter,Chennai,74.6
Tea leaves,Winter,Ahmedabad,381.23
Coffee powder,Summer,Kolkata,395.79
Sugar syrup,Winter,Mumbai,49.43
Ice cubes,Monsoon,Mumbai,9.98
Lemon juice,Summer,Hyderabad,36.48
"Flavoring syrups (rose, khus, etc.)",Winter,Bangalore,187.33
Milk powder,Winter,Lucknow,393.19
"Dry fruits (cashew, almond, raisins)",Summer,Pune,818.98
"Essence (vanilla, rose, etc.)",Summer,Pune,237.89
Corn starch,Monsoon,Bangalore,81.13
